DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/1/17,10:25,,,40.62759,-74.1718,"(40.62759, -74.1718)",FOREST AVENUE                   ,MORROW STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3782324,PICK-UP TRUCK,PASSENGER VEHICLE,,,
11/1/17,10:30,BROOKLYN,11205,40.69554,-73.96046,"(40.69554, -73.96046)",,,103       TAAFFE PLACE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3781786,PICK-UP TRUCK,,,,
11/1/17,10:30,,,40.749844,-73.938995,"(40.749844, -73.938995)",QUEENS PLAZA SOUTH              ,28 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3781257,BU,SPORT UTILITY / STATION WAGON,,,
11/1/17,10:30,,,40.753407,-73.852356,"(40.753407, -73.852356)",,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3781543,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,10:31,,,40.637745,-74.07603,"(40.637745, -74.07603)",BAY STREET                      ,VICTORY BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781642,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,10:37,,,40.713703,-74.0067,"(40.713703, -74.0067)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781399,PASSENGER VEHICLE,PICK-UP TRUCK,,,
11/1/17,10:45,MANHATTAN,10001,40.751656,-73.99014,"(40.751656, -73.99014)",7 AVENUE                        ,WEST 35 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781680,TAXI,van,,,
11/1/17,10:45,,,40.79537,-73.921974,"(40.79537, -73.921974)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,View Obstructed/Limited,,,,3782126,PASSENGER VEHICLE,TK,,,
11/1/17,10:47,MANHATTAN,10016,40.748146,-73.983894,"(40.748146, -73.983894)",,,16        EAST 34 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781678,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,10:50,BROOKLYN,11216,40.68866,-73.94884,"(40.68866, -73.94884)",,,550       GREENE AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3791189,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
